Model                          Train_Accuracy   Test_Accuracy        Gap    Precision      Recall    F1_Score     TN    FP    FN    TP
----------------------------------------------------------------------------------------------------------------------------------
Linear Regression (OLS)             0.953902       0.896247   0.057654     0.955007    0.832198    0.889383  10802   443  1896  9403
Gradient Descent (SGD)              0.498905       0.435504   0.063401     0.449343    0.560138    0.498661   3489  7756  4970  6329
Logistic Regression                 0.955730       0.893497   0.062233     0.949666    0.831578    0.886708  10747   498  1903  9396
Naïve Bayes (Gaussian)              0.890262       0.852200   0.038062     0.902089    0.790955    0.842875  10275   970  2362  8937
Decision Tree                       0.976027       0.916829   0.059198     0.973092    0.857775    0.911802  10977   268  1607  9692
Random Forest                       0.985707       0.919402   0.066305     0.988763    0.848836    0.913472  11136   109  1708  9591
XGBoost                             0.993225       0.928540   0.064685     0.988799    0.867245    0.924042  11134   111  1500  9799
SVM (RBF Kernel)                    0.988779       0.925124   0.063655     0.984084    0.864590    0.920475  11087   158  1530  9769
